UserID,Uclass,Age,Sex,Estate,HousingPrice,MeanPrice,HousingRate,January,Feburary,March,April,May,June,July,August,September,October,November,December,ComplaintTime
311688980,1,,,马栏客车北山14915,14915,18734,3,216.66,216.33,206.8,206.56,216.51,200.08,191.18,212.89,193.49,195.44,171.89,176.71,7
311695298,1,,,马栏客车北山14915,14915,18734,3,118.87,129.92,127.62,114.36,120.83,96.26,114.21,121.36,138.09,95.09,100.68,106.91,7
311696305,1,,,马栏客车北山14915,14915,18734,3,170.87,158.21,167.84,209.97,150.85,136.98,133.35,144.11,151.81,146.67,136.67,241.61,7
311701014,1,,,马栏客车北山14915,14915,18734,3,113.59,121.89,150.4,127.39,122.76,145.51,151.8,165.67,134.22,121.14,120.58,119.23,7
251622277,3,,,魁星小区7507,7507,9371,4,3337.13,1230.35,4910.37,6180.85,6586.22,7044.81,6311.72,6988.56,5934.01,6233.72,6835.55,6480.41,8
52853627,1,28,男,阳光家园5818,5818,7253,4,123.07,67.57,144.99,118.11,89.14,83.77,105.3,70.48,90.38,211.7,156.65,176.17,6
250682621,1,,,八王寺小区7584,7584,9420,4,470.73,660.81,554.99,534.3,356.81,203.93,78.44,183.88,173.86,261.91,304.97,351.35,7
7550048403,4,48,男,农机家属楼小区3900,3900,4842,4,684.21,221.59,519.21,597.94,558,430.07,410.61,409.74,402.78,463.64,440.73,550.82,11
55643391,1,,,建设小区4680,4680,5790,4,4.41,4.13,4.42,4.28,4.45,3.85,4.42,4.37,4.24,4.4,4.24,4.39,4
8046151393,1,45,女,俪泊园14348,14348,17589,4,390.25,41.79,89.7,188.51,232.78,301.9,464.71,532.64,497.53,41.72,2.34,2.44,9
8041166495,1,65,男,爱俪家园5714,5714,6993,4,176.06,156.99,188.51,197.71,177.41,234.09,262.62,310.16,155.87,154.56,131.5,169.28,2
8041169234,1,65,男,爱俪家园5714,5714,6993,4,115.84,132.4,138.43,103.39,115.38,94.61,138.58,95.9,72.6,77.24,88.24,82.85,5
8618989306,2,39,男,天赐良园小区4705,4705,5749,4,207.2,216.69,185.3,275.34,263.18,184.8,206,222.44,170.35,273.06,233.57,224.35,2
8626645344,1,39,男,明星小区3687,3687,4500,4,109.08,197.4,175.96,135.45,106.79,82.82,77.51,36.84,46.49,60.81,1.34,0,7
253087012,3,,,红星小区7682,7682,9371,4,0,0,0,0,0,0,0,0,0,0,0,0,10
8440545280,1,38,男,阳光一百8269,8269,10084,4,139.78,167.72,197.46,208.33,144.24,131.58,160.73,203.59,130.89,139.55,149.15,151.33,8
259174936,1,35,男,林韵春天7730,7730,9420,4,0,0,0,0,0,0,0,0,0,0,0,0,9
259175607,1,,,林韵春天7730,7730,9420,4,0,0,0,0,0,0,0,0,0,0,0,0,9
259182872,1,,,林韵春天7730,7730,9420,4,0,0,0,0,0,0,0,0,0,0,0,0,9
302143795,1,35,男,洞庭街6789,6789,8256,4,88.53,80.59,87,66.29,13.06,43.48,91.49,177.2,122.27,106.46,100.25,104.75,11
8170018274,3,,,福瑞嘉园3331,3331,4050,4,851.65,724.84,796.51,796.86,962.39,1377.48,1430.95,1490.6,1119.51,895.45,865.08,880.4,11
8643308486,1,35,女,龙水河小区3928,3928,4766,4,0,0,0,80.51,96.57,84.65,75.46,42.94,42.06,39.29,85.84,69.26,8
